PROJ #,DATE ACTIVE,PROJECT NAME,"STRATA 
PLAN","# OF 
UNITS",PM,"ONSITE CONTACT
",STRATA TYPE,"INSURANCE
COMPANY","INSURANCE
EXPIRY (ANNIV)",DATE OF LAST FIRE INSPECTION,"DATE OF LAST
APPRAISAL",APPRAISAL CO. & CONTRACT YEAR,"LIEN
FEE",LIEN INVOICING CODES,"MOVE IN 
FEE","MOVE OUT 
FEE",RSERVICE,FISCAL YEAR END,AGM DEADLINE,LAST AGM HELD / WAIVER SIGNED
5183,,"COOPERS LOOKOUT
33 Smithe Street
Vancouver, BC
V6B 0B5
Villas: 9 Smithe Mews, V6B 0B6
TH's: 11, 17, 19, 21, 23, 27 Smithe Mews, V6B 0B6
Lofts: 29 Smithe Mews, V6B 0B6
",BCS3127,221 Units,YM,"Concierge
Susan
604-682-3918
cell (private): 604-830-1979
cooperslookoutconcierge@rservice.ca

Building Manager
Mahbur Rahman
coopersbm@rservice.ca
778-554-3890
Monday ? Friday
8:00am ? 12:00pm",NORMAL,BFL Canada,24-Oct-25,22-Jul-15,"Thursday, October 24, 2024","NORMAC
Year 2 of 3",$200.00 ,,"$250.00
$100.00 - TH and Villas
$75.00 - internal",,Yes,30-Dec,28-Feb,25-Feb-16
5184,,"ESPRIT CITY CLUB
33 Smithe Street
Vancouver, BC
V6B 0B5",,n/a,YM,"Club Attendant
604-899-9497
espiritcityclub@rservice.ca",CLUB,BFL Canada,24-Oct-25,,,,,,,,Yes,n/a,n/a,n/a
"5186
5186-10 for Residential 
5186-20 for Commercial",,"DEL PRADO (JOINT)
1155 Mainland
Vancouver, BC
V6B 5P2

",LMS2146,35 Units,"KZ
","Resident Manager: Cam Brister 
email: cbrister@allbrightservices.ca (do not give out)
Cell:  604-312-9936 (do not give out)
",JOINT,BFL Canada,30-Dec-25,25-Nov-15,"Monday, December 30, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$500.00
This covers both move in and out",$0.00 ,Yes,28-Feb,28-Apr,28-Apr-16
"5198
5255-1 (Tower 1)
5255-2 (Tower 2)


",,"TV TOWERS (RESIDENTIAL)
Tower 1
788 Hamilton Street
Vancouver, BC 
V6B 0E9

Tower 2
233 Robson Street
Vancouver, BC 
V6B 0E8",BCS3407,"Tower 1 - 199 Units
Tower 2 - 255 Units",JT,"Building Manager:
Richard Chan
Cell:  604-785-5632
Email: rchan@allbrightservices.ca
Hours: Weekday from 12pm - 4pm

Concierge: 604-608-8754
Email: tvtowersconcierge@rservice.ca
",SECTIONED,Acera,8-May-26,7-May-15,"Thursday, May 8, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$200
$100.00 - furnished suites",,Yes,30-Jul,30-Sep,4-Oct-16
"5199
5199N (North Tower)
5199S (South Tower)
",,"VICTORIA HILL (RESIDENTIAL)
11 & 15 Royal Avenue
New Westminster, BC
V3L 0A8",BCS2450,185 Units,DC,"Building Manager:
 Steve Shaw
Office: 778-397-3785
Cell: 604-376-3166 (do not give out)
Email: vhill@rservice.ca

",RESIDENTIAL SECTION,BFL Canada,1-Oct-25,"April 12-15, 2016","Tuesday, October 1, 2024","NORMAC
Year 1 of 3

 ",$200.00 ,,$300.00 ,$100.00 ,Yes,30-Dec,28-Feb,23-Feb-16
"5200
5200-10 Residential
5200-20 Commercial
",5-Feb-09,"PALOMA ONE (JOINT)
6068 No. 3 Road
Richmond, BC
V6Y 4M7
",BCS2610,128 Units,RY,"Oscar Piloneo, Head Building Supervisor 
Cell:  778-875-2845 (do not give out)
Email:  opiloneo@allbrightservices.ca 

Wilson Law, Assistant Building Supervisor 
Cell: 604-374-1944 (do not give out)
Email: paloma@centrumconcierge.com 

Office:  604-247-1526 or 604-207-0419",JOINT,HUB,15-Jul-25,24-Nov-15,"Tuesday, July 15, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$400.00
$100.00 for furnished suites or a move between floors",$0.00 ,Yes,31-Jan,31-Mar,30-Mar-17
5201,13-Jan-09,"CREEKSIDE
125 Milross Avenue
Vancouver, BC
V6A 0A1
129,139,149,159,169 & 179 Milross Avenue V6A 0A2
910,920 & 930 Quebec Street V6A 0A3
110,118,128,138,158,160 & 168 Prior Street V6A 0A6",BCS2563,165 Units,JL,"RESIDENT MANAGER
Sarath Vasanth
Phone: 604-312-5162 (do not give out)
Phone: 604-685-4142
Email: creekside@kellyboy.ca
",NORMAL,BFL Canada,11-Oct-25,"April 13-14, 2015","Friday, October 11, 2024","NORMAC
Year 1 of 3",$200.00 ,,"$250
$0 ? Moves from suite to suite within the building
$0 ? Ground floor townhomes (110 ? 168 Prior St., 910 ? 930 Quebec St., 129 ? 179 Milross Ave.)","$250
$250 ? Moves from suite to suite within the building
$0 ? Ground floor townhomes (110 ? 168 Prior St., 910 ? 930 Quebec St., 129 ? 179 Milross Ave.)",No,31-Jan,31-Mar,31-Mar-16
5203,1-Apr-09,"DISCOVERY REACH
210 11th Street, V3M 4C9 - 5203-2A
211 12th Street, V3M 4H4 - 5203-1A
214 11th Street, V3M 4C9 - 5203-2B
215 12th Street, V3M 4H4 - 5203-1B
New Westminster, BC",LMS2687,147 Units,BL,"Robert Poblacion
Cell: 604-779-7205 (DON'T GIVE OUT!)
rpoblacion@rservice.ca",NORMAL,Hub ,1-Jun-25,31-Oct-24,"Sunday, June 1, 2025","NORMAC
Year 1 of 3",$200.00 ,,$200.00 ,$0.00 ,Yes,31-Aug,31-Oct,13-Nov-24
5204,6-Apr-09,"ABERDEEN RESIDENCES
8080 Cambie Road
Richmond, BC
V6X 0C1

",BCS2690,120 Units,CZ,"Alfred 
Concierge
Phone: 604-273-4051
Email: aberdeenconcierge@rservice.ca",AIR SPACE PARCEL,BFL Canada,7-Dec-25,"Feb 2, 2015
Dec 22, 2015","Saturday, December 7, 2024","NORMAC
Year 1 of 3",$200.00 ,,$200.00 ,,Yes,28-Feb,28-Apr,21-Apr-16
5209,21-Jul-09,"EMPORIO
6351 Buswell Street
Richmond, B.C.
V6Y 0A4",BCS2591,92 Units,SY,"Seerat Dhillon
Phone: 604-250-9217 (Ok to give out)
Email: emporio@rservice.ca",NORMAL,BFL Canada,31-Mar-26,"Jan 29, 2015
Oct 22, 2015","Monday, March 31, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$200.00

",None,Yes,31-Jan,31-Mar,22-Mar-16
5212,1-Sep-09,"THE BRITTANY JOINT
7088 Mont Royal Square V5S 4X7
7002-7050 Mont Royal Square V5S 4X5
3252-3292 E 54th Ave V5S 0A1
3298 E 54th Ave V5S 0A1
Vancouver, B.C.
",BCS1545,116 Units,SC,"Linda Chow 
604-789-6858
chow_lindaj@hotmail.com",JOINT AND SECTIONS,Acera,1-Apr-26,13-Jan-16,"Tuesday, April 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$100.00
for Apartment 
Section ","$100.00
for Apartment 
Section ",No,31-Mar,31-May,9-Jun-16
5213,1-Dec-09,"YALE CROSSING
2632 Pauline Street
Abbotsford, BC
V2S 0C9",BCS3562,"56 Res
4 Comm",CG,Contact Cathy,NORMAL,BFL Canada,31-Oct-25,19-Apr-17,"Thursday, October 31, 2024","NORMAC
Year 1 of 3

 ",$200.00 ,,$150.00 ,$150.00 ,No,30-Aug,30-Oct,25-Oct-16
5216,1-Feb-10,"ALTO (JOINT)
1205 Howe Street
Vancouver, BC
V6Z 0B2",BCS3664,116 Units,BK,"Andrey Pingachev
Mobile: 604-716-8533 
Email: caretakeralto@gmail.com (fivestar services)",JOINT,Acera,11-Jan-26,29-Mar-16,"Saturday, January 11, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$100.00
$200 cash deposit required
$75 internal
","$100.00
",Yes,31-Mar,31-May,26-May-16
5218,1-Jul-10,"ATELIER RESIDENTIAL
833 Homer Street
Vancouver, B.C. 
V6B 0H4",BCS3836,202 Units,BK,"Concierge: 604-681-9878 
atelierconcierge@rservice.ca

Building Manager
Narcisse Tchoumi
604-868-2760
ntchoumi@allbrightservices.ca (do not give out)",AIR SPACE PARCEL,BFL Canada,8-Jun-26,26-Nov-15,"Sunday, June 8, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$300
$100 if furnished",$0.00 ,Yes,31-Jul,30-Sep,28-Sep-16
5220,,"TV TOWERS (COMMERCIAL)
211, 235, 265 and 275 Robson Street
Vancouver, B.C. ",BCS3407,5 Untis,JT,"Richard Chan
604-785-5632 (don't give out)
rchan@allbrightservices.ca",COMMERCIAL SECTION,Acera,8-May-26,,"Wednesday, May 8, 2024","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,31-Jul,30-Sep,27-Sep-16
5226,,"ATELIER COMMERCIAL
825-845 Homer Street
410, 420, 428, 430, 438 & 450 Robson Street
Vancouver, BC",BCS3839,20 Commercial Units,TL,"Bldg. Super: Narcisse Tchoumi
cell: 604-868-2760
ntchoumi@allbrightservices.ca
",AIR SPACE PARCEL,BFL Canada,8-Jun-26,19-Nov-15,"June 08, 2025 - Daycare
June 08, 2025 - COMM","NORMAC
Year 3 of 3",$200.00 ,,,,No,31-Dec,28-Feb,17-Feb-16
5228,,"CONFERENCE PLAZA (RESIDENTIAL)
438 Seymour Street
Vancouver, B.C.
V6B 6H4 
",LMS2371,252 Units,SR,"Concierge: Shawn D.
604-771-2522
conferenceplazadesk@rservice.ca

Bdlg Mgr: Shawn D.
(604) 328-7723
bms.cplaza@gmail.com",RESIDENTIAL SECTION,Gallagher,13-Feb-26,21-Feb-25,"Monday, January 13, 2020","NORMAC
Year 1 of 3",$200.00 ,,">48h in advance:  $200.00
24h-48h in advance: $250.00
<24H in advance: $300.00",,Yes,30-Nov,30-Jan,30-Jan-25
5229,1-Jun-10,"JARDINE'S LOOKOUT
867 Hamilton Street
Vancouver, B.C.
V6B 6B7
",LMS1716,127 Units,SC,"Adamo Pitassi 
(o) 778-887-3845
(c) 604-970-2479 (do not give out)
apitassi@rservice.ca ",JOINT,Acera,1-Mar-26,17-Jul-15,"Saturday, March 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$0.00 ,Yes,28-Feb,28-Apr,25-Apr-16
5232,1-Jul-10,"MINORU
7371 Minoru Blvd.
Richmond, BC
V6Y 1Z3",NW2697,5 TH,CKS,"Pete Duchesne
604-802-7150 (do not give out)
pduchesne@allbrightservices.ca
",NORMAL,BFL Canada,1-Mar-26,,"Saturday, March 1, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,No,31-Mar,31-May,10-May-16
"5234
",1-Mar-11,"DONOVAN
1055 Richards Street
Vancouver, BC
V6B 0C2

Townhouses 1045, 1047, 1049, 1051, 1053, 1057, 1059, 1061, 1063 & 1065 Richards St.


",BCS3395,152 Units,KC,"Building Caretaker:
Ivan Terrible
donovan@rservice.ca (do not give out)
604-788-9140 (do not give out)

Alliance Maintenance ? Renan Moura
Phone: 604-788-9140  (ok to give out)
Email: donovan@alliancecleans.com 
After hours & Weekends Emergency line: 604-398-8824
",NORMAL,JT INSURANCE,1-Jul-25,25-Sep-24,"Tuesday, July 1, 2025","SUNCORP
Year 2",$200.00 ,,"$400 unfurnished

$125 furnished",n/a,Yes,31-Jul,30-Sep,30-Oct-24
5235,1-Mar-11,PALOMA PARKING,,20 Units,RY,,PARKADE,BFL Canada,"Paloma One: 
15-Jul-23
Paloma Two: 
21-Jul-23",,,,$200.00 ,,,,,n/a,n/a,n/a
5236,1-Mar-11,"KOI (JOINT)
850 West 8th Avenue
Vancouver, BC",BCS3603,16 Units,GR,n/a,JOINT,BFL Canada,15-May-26,17-Sep-14,"Thursday, May 15, 2025","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,n/a,n/a,No,28-Feb,28-Apr,3-May-16
5237,1-Jun-11,"SOCIAL
2329, 2339, 2349, 2359, 2369, 2379, 2389, 2399
Scotia Street 
Vancouver, BC V5T 0B2

2321 Scotia Street
Vancouver, BC
V5T 0A8

240, 250, 260, 270, 280, 290 
East 7th Avenue 
Vancouver, BC V5T 0B4
",BCS4075,125 Units,SA,"Richard Gayap
Phone number: 604-349-2557 (OK TO GIVE OUT) 
Email: socialcare@alliancecleans.com (same)

Hours are the same: 
8am to 4pm Monday to Friday

",NORMAL,BFL Canada,1-Jul-25,17-Dec-15,"Tuesday, July 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$200, $100 if no elevator, hallway or stairwell access is needed",,Yes,30-Jun,30-Aug,22-Aug-16
"5238
5238A (Tower A, 5028 Kwantlen)
5238B (Tower B, 5068 Kwantlen)
5238C (Tower C, 5088 Kwantlen)
5238D (Tower D, 5168 Kwantlen)
",1-May-11,"SEASONS
5028 Kwantlen Street V6X 4K2
5068 Kwantlen Street V6X 4K4
5088 Kwantlen Street V6X 4K5
5168 Kwantlen St. V6X 0A2
Richmond, B.C.",BCS1861,289 Units,KZ,"Building Manager
Mars Shi
seasons@rservice.ca 
604-999-5709
Monday to Friday ? 8:00am to 4:30pm

Imperial Security
Seasons.Richmond@gmail.com 
604-999-5709
1-877-221-2333 (After Hours)",NORMAL,Hub International,31-Jul-25,20-Sep-16,"Thursday, July 31, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$300
$100 for weekend moves",n/a,Yes,31-Jul,30-Sep,26-Sep-16
5240,1-May-11,"WEST PENDER PLACE (COMMERCIAL)
1477 West Pender
1409 West Pender
1425, 1427, 1433, 1437, 1455, 1463, 1467, 1483, 1487, 1499 West Pender
595 Broughton Street
Vancouver, B.C.
",EPS390,10 Units,SA," 
westpenderconcierge@gmail.com",COMMERCIAL SECTION,BFL Canada,29-Apr-26,,"Monday, April 29, 2013","NORMAC
Year 3 of 3",$200.00 ,,,,No,31-Jul,30-Sep,20-Oct-16
5243,1-Sep-11,"PALOMA 2 (RESIDENTIAL)
8033 Saba Road
Richmond, B.C.
V6Y 4M8",BCS3856,154 Units,RY,"Oscar Piloneo, Head Building Supervisor 
Cell:  778-875-2845 (do not give out)
Email:  opiloneo@allbrightservices.ca

Wilson Law, Assistant Building Supervisor 
Cell: 604-374-1944 (do not give out)
Email: paloma@centrumconcierge.com 

Office:  604-247-1526 or 604-207-0419",RESIDENTIAL SECTION,BFL Canada,21-Jul-25,9-Jan-16,"Monday, July 21, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$400
$100 furnished or between floors",$0.00 ,Yes,31-Jan,31-Mar,28-Mar-17
5245,1-Sep-11,"PALOMA 2 (JOINT)
8033 Saba Road
Richmond, B.C.
V6Y 4M8",BCS3856,160 Units,RY,"Oscar Piloneo, Head Building Supervisor 
Cell:  778-875-2845 (do not give out)
Email:  opiloneo@allbrightservices.ca

Wilson Law, Assistant Building Supervisor 
Cell: 604-374-1944 (do not give out)
Email: paloma@centrumconcierge.com 

Office:  604-247-1526 or 604-207-0419",JOINT,BFL Canada,21-Jul-25,9-Jan-16,"Monday, July 21, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,,31-Jan,31-Mar,28-Mar-17
"5253
5253T
5253HH",1-Oct-11,"  RICHARDS LIVING
1088 Richards Street 
Vancouver, BC
V6B 0J8

1038, 1040, 1048, 1050, 1058, 1060, 1070, 1090 Richards Street
Vancouver, BC
V6B 3E1

477 and 487 Helmcken Street
Vancouver, BC
V6B 2E6",BCS4213,233 Units,YM,"For booking moves, fobs, etc. 
778-874-1050
richards@rservice.ca

Building Manager:
Jason Beke
jbeke@allbrightservices.ca (do not give out)
778-232-9070 (do not give out / for use of building emergency only)
richards@rservice.ca


",NORMAL,Acera,28-Sep-25,7-Dec-15,"Saturday, September 28, 2024","NORMAC
Year 2 of 3",$200.00 ,,$100.00 ,$100.00 ,Yes,30-Nov,30-Jan,20-Jan-16
"5255
5255-1 (Tower 1)
5255-2 (Tower 2)

",,"TV TOWERS (JOINT)
Tower 1
788 Hamilton Street
Vancouver, BC 
V6B 0E9

Tower 2
233 Robson Street
Vancouver, BC 
V6B 0E8",BCS3407,459 Units,JT,"Building Manager:
Norman Ng - 778-877-9596

Asst. Building Manager (M-F, 8 am-12 pm):
Michael Lima
604-306-0908 (do not give out)
michaellima@alliancecleans.com

Concierge: 604-608-8754
Email:
tvtowersconcierge@rservice.ca",JOINT,Acera,8-May-26,7-May-15,"Wednesday, May 8, 2024","NORMAC
Year 3 of 3",$200.00 ,,,,Yes,31-Jul,30-Sep,4-Oct-16
"5256 ? Park Place Joint

5256-1 (One Park Place)
5256-2 (Two Park Place)
5256-C (Commercial)


",1-Dec-11,"PARK PLACE - JOINT
One Park Place ? 13688 ? 100th Ave V3T 0G5
Two Park Place ? 9981 Whalley Boulevard V3T 0G6
Surrey, BC
",EPS561,716 Units,GR,"Concierge
Cell: 778-874-1051
Office: 604-584-2336
parkplaceconcierge@rservice.ca

Building Manager:
Stedman Espinosa
778-899-7950 (do not give out)
espinoza@rservice.ca",JOINT,HUB,15-Dec-25,25-Jun-15,"Sunday, December 15, 2024","NORMAC
Year 2 of 3",$200.00 ,,"$100

Weekend and Stat holidays $250","0

Weekend and Stat holidays $150",Yes,31-Jan,31-Mar,31-Mar-16
"5257 ? Park Place Residential

5256-1 (One Park Place)
5256-2 (Two Park Place)
",1-Dec-11,"PARK PLACE - RESIDENTIAL
One Park Place ? 13688 ? 100th Ave
Two Park Place ? 9981 Whalley Boulevard
Surrey, BC
",EPS561,"One Park Place - 349 Units
Two Park Place - 349 Units
",GR,"Concierge
Cell: 778-874-1051
Office: 604-584-2336
parkplaceconcierge@rservice.ca

Building Manager:
Stedman Espinosa
778-899-7950 (do not give out)
espinoza@rservice.ca",RESIDENTIAL SECTION,HUB,15-Dec-25,,"Sunday, December 15, 2024","NORMAC
Year 2 of 3",$200.00 ,,"$100

Weekend and Stat holidays $250","0

Weekend and Stat holidays $150",Yes,31-Jan,31-Mar,31-Mar-16
"5258 ? Park Place Commercial

5256-C
",1-Dec-11,"PARK PLACE - COMMERCIAL 
One Park Place ? 13688 ? 100th Ave
Two Park Place ? 9981 Whalley Boulevard
Surrey, BC
",EPS561,18 Units,CKS,"Concierge
Cell: 778-874-1051
Office: 604-584-2336
parkplaceconcierge@rservice.ca

Building Manager:
Stedman Espinosa
778-899-7950 (do not give out)
espinoza@rservice.ca",COMMERCIAL SECTION,HUB,15-Dec-25,,"Sunday, December 15, 2024","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,"$100

Weekend and Stat holidays $250","0

Weekend and Stat holidays $150",Yes,31-Jan,31-Mar,30-Mar-16
5260,,PERLA - RESIDENTIAL,BCS282,225 Units,RY,"Name: Samir Bhandari 
Telephone: 604-813-1564
Email: bcs282.perla@gmail.com
Office Hours: 2:00 p.m. - 4:00 p.m.

On Site Hours:
Monday to Friday
9:00 a.m. to 5:00 p.m.

Strata Agent Open Office Hour: 
Every month in 1st and 3rd Wednesday Afternoon
3 p.m. - 5 p.m",RESIDENTIAL SECTION,BFL Canada,25-Jun-25,24-Oct-16,"Tuesday, June 25, 2024","NORMAC
Year 1 of 3",$200.00 ,,"$275.00
Weekend - $100
",$0.00 ,,30-Apr,30-Jun,29-Jun-16
5261,,FREESIA - JOINT,BCS1903,185 Units,CL,"Kiran
604-662-4915
freesiaconcierge@rservice.ca",JOINT,BFL Canada,30-Jun-25,9-Mar-15,,,$200.00 ,,,,,31-Aug,31-Oct,24-Oct-16
5262,,VICTORIA HILL - COMMERCIAL,BCS2450,3 Units,SA,,COMMERCIAL SECTION,Onni Handles insurance,"
Onni Handles insurance",,"Saturday, October 1, 2022","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,No,31-Dec,28-Feb,26-Feb-16
5263,,VICTORIA HILL - JOINT,BCS2450,188 Units,DC,n/a,JOINT,BFL Canada,1-Oct-25,,,,$200.00 ,,,,,31-Dec,28-Feb,23-Feb-16
5266,,MARINASIDE RESORT - RESIDENTIAL,LMS4255,362 Units,JL,"Miljen Mutic
604-710-4599 (do not give out)
MMutic@ranchogroup.com (do not give out)",RESIDENTIAL SECTION,Acera,11-Oct-25,25-Nov-15,"Tuesday, October 11, 2016","NORMAC
Year 2 of 3 ",$200.00 ,,,,,30-Nov,30-Jan,1-Feb-16
5267,,DEL PRADO - RESIDENTIAL,LMS2146,30 Units,KZ,,RESIDENTIAL SECTION,BFL Canada,30-Dec-25,,,,$200.00 ,,,,,28-Feb,28-Apr,28-Apr-16
5271,1-Dec-12,"CEDAR CREEK NORTH
1480 Southview Street
Coquitlam, BC

",EPS1113,31 Units,KC,n/a,NORMAL,BFL Canada,6-Dec-25,,"Friday, December 6, 2024","NORMAC
Year 1 of 3",$200.00 ,,,,No,30-Sep,30-Nov,4-Dec-24
5272,,PALOMA ONE - RESIDENTIAL,BCS2610,122 Units,RY,"Oscar Piloneo, Head Building Supervisor 
Cell:  778-875-2845 (do not give out)
Email:  opiloneo@allbrightservices.ca

Wilson Law, Assistant Building Supervisor 
Cell: 604-374-1944 (do not give out)
Email: paloma@centrumconcierge.com 

Office:  604-247-1526 or 604-207-0419",RESIDENTIAL SECTION,HUB,15-Jul-25,24-Nov-15,"Tuesday, July 15, 2025","NORMAC
Year 1 of 3",$200.00 ,,,,,31-Jan,31-Mar,30-Mar-17
5273,,PALOMA ONE - COMMERCIAL,BCS2610,6 Units,RY,"Oscar Piloneo, Head Building Supervisor 
Cell:  778-875-2845 (do not give out)
Email:  opiloneo@allbrightservices.ca

Wilson Law, Assistant Building Supervisor 
Cell: 604-374-1944 (do not give out)
Email: paloma@centrumconcierge.com 

Office:  604-247-1526 or 604-207-0419",COMMERCIAL SECTION,HUB,15-Jul-25,,,,$200.00 ,,,,,31-Jan,31-Mar,30-Mar-17
5274,,"JARDINES LOOKOUT - RESIDENTIAL
867 Hamilton Street
Vancouver, B.C.
V6B 6B7",LMS1716,127 Units,"SC
","Adamo Pitassi 
Office: 778-887-3845
Cell: 604-970-2479 (do not give out)
Email: apitassi@rservice.ca ",RESIDENTIAL SECTION,Acera,1-Mar-26,17-Jul-15,"Monday, December 1, 2014","NORMAC
Year 2 of 3",$200.00 ,,,,,28-Feb,28-Apr,25-Apr-16
5275,,"JARDINES LOOKOUT - COMMERCIAL
837, 847, 863 Hamilton Street
Vancouver, B.C.
",LMS1716,3 Units,SC,"Adamo Pitassi 
Office: 778-887-3845
Cell: 604-970-2479 (do not give out)
Email: apitassi@rservice.ca ",COMMERCIAL SECTION,Acera,1-Mar-26,,"Monday, December 1, 2014","NORMAC
Year 2 of 3",$200.00 ,,,,,28-Feb,28-Apr,7-Sep-16
5277,1-Mar-13,"UPTOWN - JOINT 
2788 Prince Edward Street
Vancouver, BC  V5T 0C8
Townhouses
2718, 2738, 2768, 2790, 2792 and 2796 Prince Edward Street
408, 410, 416, 418, East 11th Avenue
401, 411 and 421 East 12th Avenue
Vancouver, BC 
",EPS1093,103 Units,KZ,"Alliance Maintenance ? Building Manager: Bobby Mudaliar 
(778) 389-7892 
bob@alliancecleans.com",JOINT,BFL Canada,21-Jan-26,"Feb 27, 2015
Dec 31, 2015","Tuesday, January 21, 2025","NORMAC
Year 1 of 3",$200.00 ,,$200.00 ,$200.00 ,YES,30-Apr,30-Jun,28-Jun-16
5278,1-Mar-13,"UPTOWN - RESIDENTIAL
2788 Prince Edward Street
Vancouver, BC   V5T 0C8
Townhouses
2718, 2738, 2768, 2790, 2792 and 2796 Prince Edward Street
408, 410, 416, 418, East 11th Avenue
401, 411 and 421 East 12th Avenue
Vancouver, BC 
",EPS1093,102 Units,KZ,"Alliance Maintenance ? Building Manager: Bobby Mudaliar 
(778) 389-7892 
bob@alliancecleans.com",RESIDENTIAL SECTION,BFL Canada,21-Jan-26,"Feb 27, 2015
Dec 31, 2015","Tuesday, January 21, 2025","NORMAC
Year 1 of 3",$200.00 ,,$200.00 ,$200.00 ,No,30-Apr,30-Jun,28-Jun-16
5280,,ALTO - RESIDENTIAL,BCS3664,110 Units,BK,"Andrey Pingachev
604-716-8533
caretakeralto@gmail.com",RESIDENTIAL SECTION,Acera,11-Jan-26,29-Mar-16,"Monday, January 11, 2021","NORMAC
Year 3 of 3",$200.00 ,,,,,31-Mar,31-May,26-May-16
"5281
5281-C",1-May-12,"LONDON PLACE 
1177 Hornby Street
Vancouver, BC
V6Z 2E9",LMS1757,142 Units,"KD
","Resident Manager:
Calvin Greger
londonplace@novuscom.net
Office: 604-685-0139
Cell: 604-328-5136 (do not give out)
",TYPES,JT Insurance,31-May-25,30-Jun-15,"Wednesday, April 30, 2025","NORMAC
Year 1 of 3",$200.00 ,,$100 plus $100 fob activation fee,,Yes,28-Feb,28-Apr,26-Apr-16
"5285
5285-1 (Phase 1)
5285-2 (Phase 2)
",1-Feb-12,"AFFINITY
Phase 1 - 2200 Douglas Road
2222, 2224, 2226, 2228, 2230
Burnaby, BC
V5C 0G8

Phase 2 - 2232 Douglas Road
2236, 2238
Burnaby, BC
V5C 0G9",BCS4311,"Phase 1  - 134 Units
Phase 2 - 157 Units","CL
","Surendra Chand
Surendra 604-868-6701
schand@rservice.ca
604-559-8379 ? main # 
604-559-8371 ? fax/ distinctive 
604-868-6701 (cell-do not give)
",NORMAL,BFL Canada,9-Jan-26,,"Thursday, January 9, 2025","NORMAC
Year 2 of 3",$200.00 ,,$150.00 ,$150.00 ,Yes,31-May,31-Jul,13-Jul-16
5286,1-May-12,"COSMO
161 West Georgia Street
Vancouver, BC
V6B 0K9
",BCS4387,253 Units,SC,"Cosmo Concierge 
Concierge Desk: 604-893-8594
Concierge Cellphone: 778-980-4387
Concierge Email: cosmoconcierge@rservice.ca

Building Manager: Chiu 
cosmo@rservice.ca 
604-762-7688 (do not give out)",NORMAL,Acera,18-Apr-26,30-Jun-15,"Friday, April 18, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$350
$250 (between 11:00 a.m. and 5:00 p.m.)
$125 (fully furnished unit)
$100 (moving from unit to another in the building)
$100 (townhouse)

",$100.00 ,Yes,30-Jun,30-Aug,25-Aug-16
"5290
NLM as of June 30, 2025",1-May-12,"WHISTLER MOUNTAINSIDE LODGE
4417 Sundial Place 
Whistler, BC
V0N 1B4
",VR1026,93,"CKS/KN  
(KaWing is PM)
(AW is Admin)","Serge Schnob
Email: hotelmgr.whistler@executivehotels.net

Anthony Lamb
Email: gm@executivesuitessquamish.com",NORMAL,BFL Canada,30-May-26,,"Friday, May 30, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,No,31-Dec,28-Feb,24-Feb-16
5291,,"THE PARK @ THE BORDEAUX
7102 Mont Royal Square
Vancouver, BC
V5S 4W4
Financial Contract Only
",LMP52054,7 Units,SC,No contact needed,PARK,Acera,1-Apr-26,,,,$200.00 ,PRO/ACCTING/XXXX,,,No,31-Dec,28-Feb,3-Feb-16
5292,1-Jun-12,"7&W
1002 East 7th Avenue
1006 East 7th Avenue
1008 East 7th Avenue
V5T 1P7
2316 Windsor Street
2318 Windsor Street
2320 Windsor Street
2330 Windsor Street
2328 Windsor Street
2326 Windsor Street
Vancouver, BC
V5T 3Z5
",BCS4332,9 Units,"MC
(Admin Pool is Admin)",n/a,ACCOUNTING ONLY,Acera,9-May-26,31-Jul-15,"Friday, May 9, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/ACCTING/XXXX,,,No,28-Feb,28-Apr,4-May-16
